SA2_MAINCODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EPT_DC_0_4,M_LPLFS_EAW_DC_0_4,M_LPLFS_HNS_DC_0_4,M_LPLFS_EW_T_DC_0_4,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_U_T_DC_0_4,M_LPLFS_T_LF_DC_0_4,M_LPLFS_NLF_DC_0_4,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_T_DC_0_4,F_LPLFS_EFT_DC_0_4,F_LPLFS_EPT_DC_0_4,F_LPLFS_EAW_DC_0_4,F_LPLFS_HNS_DC_0_4,F_LPLFS_EW_T_DC_0_4,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_U_T_DC_0_4,F_LPLFS_T_LF_DC_0_4,F_LPLFS_NLF_DC_0_4,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_T_DC_0_4,T_LPLFS_EFT_DC_0_4
204011057,0,0,0,0,6,0,0,0,6,3,0,3,4,9,0,0,12,0,0,0,12,20,3,33,10
204011058,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,4,18,0,18,0
204011059,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,13,3,3,9,23,71,0,91,8
204011060,0,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,11,0,0,0,11,7,0,18,3
204011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204011062,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7,7,0,9,0
204021063,3,0,0,0,3,0,0,0,3,0,0,3,4,25,0,0,33,0,5,8,35,91,0,131,6
204021064,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,11,0,16,0
204021065,3,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,6,0,0,0,6,14,0,15,0
204021066,3,4,0,0,8,0,0,3,9,4,0,18,7,38,8,0,53,3,7,9,62,111,9,181,12
204021067,0,0,0,0,3,0,0,0,3,0,0,3,0,12,0,0,12,0,0,0,16,21,0,39,0
204031068,0,0,0,0,0,0,0,0,0,0,0,3,5,11,0,0,19,0,6,6,26,10,0,35,7
204031069,4,5,0,0,6,0,0,0,6,0,0,9,3,14,0,0,20,0,0,0,18,11,0,29,10
204031070,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,8,11,0,16,0
204031071,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,10,0,0,0,10,18,5,35,3
204031072,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,18,0,22,0
204031073,8,0,0,0,7,0,0,0,7,0,0,9,13,48,8,3,68,5,8,14,81,112,3,199,15
204031074,9,4,0,3,12,4,0,6,17,5,0,24,23,55,3,0,82,10,15,26,111,151,4,270,25
204031075,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,0,5,10,0,17,3
205011076,5,3,0,0,11,0,0,0,8,3,0,10,5,29,7,3,45,0,6,5,51,88,0,136,11
205011077,0,0,0,0,0,0,0,0,0,6,0,5,3,4,0,3,8,0,0,0,8,22,0,29,3
205011078,3,0,0,0,5,0,0,0,5,0,0,5,3,20,4,0,32,0,0,0,29,37,0,64,12
205011079,3,0,0,0,3,0,0,0,3,3,0,7,9,24,5,0,34,0,8,10,42,98,0,144,10
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,0,3,0,0,4,0,0,0,5,4,0,12,4,31,0,0,34,3,9,8,51,112,3,160,7
205021082,0,6,0,0,9,0,0,0,9,0,0,6,4,7,0,0,10,0,0,0,17,14,0,26,3
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,3,3,0,0,3,0,0,0,3,3,0,4,5,10,3,3,19,0,0,0,20,44,0,64,3
205021085,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,16,0,0,0,16,27,0,39,3
205021086,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,11,0,0,0,11,29,0,38,3
205031087,0,0,0,0,0,0,0,0,4,0,0,4,3,6,0,4,12,0,0,0,12,19,0,32,3
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205031089,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,10,0,7,10,20,50,0,67,0
205031090,3,0,0,0,3,0,0,3,3,0,0,3,6,19,0,0,27,0,0,0,28,42,0,74,10
